!B1413+135   J1415+133                                                                    
!J2000  RA: 14:15:58.8174    DEC: +13:20:23.712                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 870mi   03 Jan 2003 00:00  SMA  342.25   0.920 +/- 0.310     3.0  mgurwell  52642.000    
 1.3mm   07 Apr 2003 05:27  SMA  235.60   0.710 +/- 0.087     9.0  mgurwell  52736.227    
 1.3mm   12 Aug 2003 05:53  SMA  236.00   0.701 +/- 0.145     5.0  mgurwell  52863.246    
 1.1mm   04 Mar 2005 15:31  SMA  271.67   0.498 +/- 0.048    12.0  mgurwell  53433.648    
 1.3mm   27 Mar 2005 04:55  SMA  224.48   0.475 +/- 0.052    10.3  mgurwell  53456.203    
 1.3mm   28 Jun 2005 02:02  SMA  225.49   0.762 +/- 0.194     4.0  mgurwell  53549.086    
 1.3mm   15 Nov 2005 17:48  SMA  221.02   0.418 +/- 0.081     5.3  mgurwell  53689.742    
 1.3mm   16 Nov 2005 17:25  SMA  219.63   0.418 +/- 0.048     9.7  mgurwell  53690.727    
 1.3mm   19 Dec 2005 18:02  SMA  218.10   0.516 +/- 0.040    16.7  mgurwell  53723.750    
 1.3mm   15 Feb 2006 12:04  SMA  225.55   0.507 +/- 0.066     8.3  mgurwell  53781.504    
 1.3mm   13 Apr 2006 14:14  SMA  225.55   0.595 +/- 0.045    17.3  mgurwell  53838.594    
 870mi   04 May 2006 06:20  SMA  342.52   0.638 +/- 0.194     3.3  mgurwell  53859.266    
 1.3mm   18 May 2006 04:51  SMA  225.50   0.605 +/- 0.088     7.3  mgurwell  53873.203    
 870mi   19 May 2006 08:33  SMA  340.83   0.505 +/- 0.191     2.7  mgurwell  53874.355    
 1.3mm   04 Aug 2006 04:01  SMA  223.61   0.527 +/- 0.050    12.3  mgurwell  53951.168    
 1.3mm   20 Dec 2006 17:07  SMA  225.52   0.631 +/- 0.058    13.0  mgurwell  54089.715    
 1.3mm   22 Dec 2006 14:49  SMA  220.52   0.612 +/- 0.059    12.0  mgurwell  54091.617    
 1.3mm   13 Feb 2007 11:51  SMA  239.98   0.683 +/- 0.047    21.3  mgurwell  54144.492    
 1.3mm   04 Mar 2007 13:49  SMA  220.05   1.188 +/- 0.079    23.0  mgurwell  54163.574    
 1.3mm   27 Dec 2007 19:01  SMA  222.92   0.432 +/- 0.036    15.0  mgurwell  54461.793    
 1.1mm   28 Jun 2008 19:27  SMA  261.77   0.663 +/- 0.059    13.7  mgurwell  54645.809    
 1.1mm   10 Nov 2008 19:27  SMA  261.77   0.622 +/- 0.128     5.0  mgurwell  54780.809    
 1.3mm   29 May 2009 05:30  SMA  225.44   0.291 +/- 0.028    12.3  mgurwell  54980.230    
 1.1mm   04 Jun 2009 05:02  SMA  283.79   0.337 +/- 0.102     3.3  mgurwell  54986.211    
 1.3mm   06 Jun 2009 04:59  SMA  221.73   0.302 +/- 0.026    14.7  mgurwell  54988.207    
 1.3mm   10 Aug 2009 06:00  SMA  221.05   0.254 +/- 0.023    13.3  mgurwell  55053.250    
 1.3mm   24 Sep 2009 03:52  SMA  225.45   0.262 +/- 0.024    12.7  mgurwell  55098.160    
 1.3mm   04 Jan 2010 18:12  SMA  225.47   0.811 +/- 0.042    66.3  mgurwell  55200.758    
 1.3mm   26 Aug 2010 06:19  SMA  225.48   0.380 +/- 0.031    15.3  mgurwell  55434.262    
 1.3mm   17 Nov 2010 17:51  SMA  225.50   0.432 +/- 0.031    19.3  mgurwell  55517.742    
 1.3mm   10 Nov 2011 18:07  SMA  221.52   0.301 +/- 0.024    16.7  mgurwell  55875.754    
 1.3mm   15 Jan 2012 13:33  SMA  224.81   0.315 +/- 0.042     8.0  mgurwell  55941.566    
 1.1mm   08 Jun 2012 04:37  SMA  273.56   0.302 +/- 0.028    12.7  mgurwell  56086.191    
 1.3mm   09 Mar 2013 13:33  SMA  225.48   0.348 +/- 0.018   115.3  mgurwell  56360.566    
 1.3mm   20 Mar 2013 13:19  SMA  225.43   0.314 +/- 0.016    86.3  mgurwell  56371.555    
 1.1mm   12 Jun 2013 04:19  SMA  271.79   0.301 +/- 0.046     7.0  mgurwell  56455.180    
 1.3mm   24 Jun 2013 05:29  SMA  224.86   0.322 +/- 0.027    15.0  mgurwell  56467.227    
