!B1617+229   J1619+227                                                                    
!J2000  RA: 16:19:14.8246    DEC: +22:47:47.851                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 1.3mm   03 Jul 2008 06:39  SMA  225.60   0.188 +/- 0.057     3.3  mgurwell  54650.277    
 1.3mm   02 Dec 2008 18:22  SMA  222.54   0.166 +/- 0.039     4.3  mgurwell  54802.766    
 1.3mm   26 Feb 2009 12:25  SMA  220.55   0.161 +/- 0.049     3.3  mgurwell  54888.516    
 1.3mm   12 Oct 2009 04:31  SMA  223.91   0.139 +/- 0.018     8.3  mgurwell  55116.188    
 1.3mm   13 Oct 2009 05:00  SMA  219.50   0.160 +/- 0.025     6.7  mgurwell  55117.207    
 1.3mm   26 Aug 2010 07:40  SMA  225.48   0.137 +/- 0.025     5.7  mgurwell  55434.320    
 1.3mm   19 May 2011 13:12  SMA  224.74   0.132 +/- 0.026     5.3  mgurwell  55700.551    
 1.3mm   08 Jun 2011 10:16  SMA  221.66   0.168 +/- 0.012    19.0  mgurwell  55720.430    
 1.3mm   28 Feb 2012 18:17  SMA  224.81   0.138 +/- 0.025     5.7  mgurwell  55985.762    
 1.3mm   27 Jun 2013 04:50  SMA  225.44   0.132 +/- 0.024     5.7  mgurwell  56470.203    
 1.3mm   20 Aug 2013 04:14  SMA  220.59   0.115 +/- 0.039     3.0  mgurwell  56524.176    
 1.3mm   14 Jan 2014 16:34  SMA  225.22   0.136 +/- 0.030     4.7  mgurwell  56671.691    
 1.3mm   15 Jan 2014 16:44  SMA  225.22   0.130 +/- 0.018     7.7  mgurwell  56672.695    
 1.3mm   01 Feb 2014 14:23  SMA  225.45   0.137 +/- 0.025     5.7  mgurwell  56689.598    
 1.3mm   15 Feb 2014 13:23  SMA  224.82   0.252 +/- 0.077     3.3  mgurwell  56703.559    
 1.3mm   22 Mar 2014 11:03  SMA  224.90   0.121 +/- 0.023     5.3  mgurwell  56738.461    
 1.1mm   23 Mar 2014 10:56  SMA  296.52   0.175 +/- 0.045     4.0  mgurwell  56739.457    
 1.3mm   22 Aug 2014 08:01  SMA  223.55   0.105 +/- 0.029     3.7  mgurwell  56891.336    
 1.3mm   08 Feb 2016 13:58  SMA  225.52   0.108 +/- 0.016     7.0  mgurwell  57426.582    
 1.3mm   24 Jun 2016 05:11  SMA  224.85   0.130 +/- 0.019     7.3  mgurwell  57563.215    
 1.3mm   10 Aug 2016 07:19  SMA  225.51   0.138 +/- 0.022     6.7  mgurwell  57610.305    
 1.3mm   22 Apr 2017 15:41  SMA  224.97   0.128 +/- 0.017     8.0  mgurwell  57865.652    
 870mi   22 Jun 2017 07:03  SMA  345.23   0.082 +/- 0.023     3.7  mgurwell  57926.293    
 1.3mm   13 Feb 2018 13:33  SMA  230.01   0.116 +/- 0.011    12.7  mgurwell  58162.566    
 1.3mm   05 Apr 2019 13:41  SMA  225.52   0.128 +/- 0.008    23.3  mgurwell  58578.570    
 1.3mm   30 May 2019 11:13  SMA  225.52   0.111 +/- 0.010    12.7  mgurwell  58633.469    
 1.3mm   24 Jun 2021 04:48  SMA  229.53   0.132 +/- 0.019     7.3  mgurwell  59389.199    
 1.3mm   08 May 2022 15:11  SMA  224.54   0.179 +/- 0.077     2.3  mgurwell  59707.633    
 1.3mm   29 Aug 2022 05:58  SMA  230.71   0.109 +/- 0.013     9.0  mgurwell  59820.250    
 1.3mm   20 Sep 2023 05:10  SMA  225.55   0.124 +/- 0.009    19.0  mgurwell  60207.215    
 1.3mm   07 Feb 2025 13:44  SMA  225.54   0.100 +/- 0.015     7.0  mgurwell  60713.570    
 1.3mm   05 Mar 2025 18:40  SMA  225.00   0.112 +/- 0.008    19.7  mgurwell  60739.777    
 1.3mm   19 Mar 2025 17:17  SMA  225.52   0.158 +/- 0.031     5.3  mgurwell  60753.719    
 1.3mm   12 May 2025 07:30  SMA  225.54   0.104 +/- 0.011    10.3  mgurwell  60807.312    
 1.3mm   13 May 2025 07:58  SMA  225.54   0.116 +/- 0.010    13.7  mgurwell  60808.332    
 1.3mm   14 May 2025 10:14  SMA  225.54   0.108 +/- 0.008    17.7  mgurwell  60809.426    
