!B1710-269   J1713-269                                                                    
!J2000  RA: 17:13:31.2756    DEC: -26:58:52.523                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 1.3mm   30 Jan 2007 16:01  SMA  220.44   0.268 +/- 0.068     4.0  mgurwell  54130.668    
 1.3mm   25 Feb 2007 14:34  SMA  222.90   0.129 +/- 0.056     2.3  mgurwell  54156.605    
 1.3mm   04 Mar 2007 13:56  SMA  220.05   0.191 +/- 0.058     3.3  mgurwell  54163.582    
 1.3mm   02 Nov 2007 03:41  SMA  225.43   0.291 +/- 0.064     4.7  mgurwell  54406.152    
 1.3mm   18 Mar 2008 13:03  SMA  227.00   0.360 +/- 0.066     5.7  mgurwell  54543.543    
 870mi   24 Mar 2008 15:49  SMA  339.93   0.114 +/- 0.024     5.0  mgurwell  54549.660    
 1.3mm   03 Jul 2008 05:55  SMA  225.60   0.191 +/- 0.042     4.7  mgurwell  54650.246    
 1.3mm   11 Sep 2008 04:13  SMA  225.57   0.228 +/- 0.040     6.0  mgurwell  54720.176    
 870mi   23 Sep 2008 05:08  SMA  334.97   0.286 +/- 0.108     2.7  mgurwell  54732.215    
 1.3mm   27 Sep 2008 03:38  SMA  224.38   0.297 +/- 0.100     3.0  mgurwell  54736.152    
 1.3mm   29 Sep 2008 04:45  SMA  221.57   0.277 +/- 0.057     5.0  mgurwell  54738.199    
 1.3mm   06 Oct 2008 04:54  SMA  221.56   0.184 +/- 0.028     7.0  mgurwell  54745.203    
 1.3mm   01 Nov 2008 03:09  SMA  224.37   0.179 +/- 0.025     7.7  mgurwell  54771.133    
 1.3mm   28 Jan 2009 18:10  SMA  235.14   0.165 +/- 0.030     5.7  mgurwell  54859.758    
 1.3mm   17 Feb 2009 15:15  SMA  220.38   0.177 +/- 0.032     5.7  mgurwell  54879.637    
 1.3mm   26 Feb 2009 14:11  SMA  220.55   0.115 +/- 0.050     2.3  mgurwell  54888.590    
 1.3mm   10 Aug 2009 04:46  SMA  221.05   0.157 +/- 0.027     6.0  mgurwell  55053.199    
 1.3mm   13 Aug 2009 04:56  SMA  225.56   0.184 +/- 0.047     4.0  mgurwell  55056.207    
 870mi   04 Jun 2010 11:04  SMA  342.48   0.353 +/- 0.078     4.7  mgurwell  55351.461    
 1.3mm   26 Aug 2010 07:19  SMA  225.48   0.169 +/- 0.025     7.3  mgurwell  55434.305    
 870mi   07 Oct 2010 05:37  SMA  336.17   0.204 +/- 0.069     3.0  mgurwell  55476.234    
 1.3mm   27 Feb 2012 17:40  SMA  224.57   0.211 +/- 0.033     6.7  mgurwell  55984.734    
 1.3mm   14 Mar 2012 19:23  SMA  225.52   0.176 +/- 0.028     6.7  mgurwell  56000.809    
 1.3mm   27 Jun 2013 06:08  SMA  225.44   0.115 +/- 0.021     5.7  mgurwell  56470.254    
 870mi   11 Jul 2013 11:35  SMA  336.96   0.181 +/- 0.055     3.3  mgurwell  56484.484    
 1.3mm   20 Aug 2013 07:20  SMA  220.59   0.172 +/- 0.058     3.0  mgurwell  56524.305    
 1.3mm   15 Jan 2014 19:36  SMA  225.22   0.175 +/- 0.021     9.0  mgurwell  56672.816    
 1.3mm   20 Feb 2014 19:28  SMA  225.60   0.156 +/- 0.020     8.7  mgurwell  56708.812    
 1.3mm   18 Apr 2014 10:40  SMA  225.48   0.168 +/- 0.035     5.0  mgurwell  56765.445    
 1.3mm   24 Jun 2015 07:03  SMA  225.44   0.156 +/- 0.023     7.3  mgurwell  57197.293    
 1.3mm   17 Apr 2018 16:01  SMA  225.52   0.161 +/- 0.045     3.7  mgurwell  58225.668    
