!B0332-403   J0334-401                                                                    
!J2000  RA: 03:34:13.6544    DEC: -40:08:25.397                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 1.3mm   09 Dec 2004 06:22  SMA  225.62   0.691 +/- 0.142     5.0  mgurwell  53348.266    
 1.3mm   01 Aug 2005 16:32  SMA  223.14   0.555 +/- 0.040    19.0  mgurwell  53583.688    
 1.3mm   16 Sep 2006 12:46  SMA  225.50   0.222 +/- 0.049     4.7  mgurwell  53994.531    
 1.3mm   06 Jul 2007 18:39  SMA  225.16   0.444 +/- 0.038    14.7  mgurwell  54287.777    
 1.3mm   15 Feb 2008 04:54  SMA  224.49   1.309 +/- 0.090    21.0  mgurwell  54511.203    
 1.3mm   20 Jun 2008 18:25  SMA  225.41   1.258 +/- 0.089    20.0  mgurwell  54637.766    
 1.3mm   21 Sep 2008 16:07  SMA  235.17   1.599 +/- 0.083    69.3  mgurwell  54730.672    
 1.3mm   02 Oct 2008 10:28  SMA  225.58   1.874 +/- 0.098    65.0  mgurwell  54741.438    
 1.1mm   08 Oct 2008 13:04  SMA  269.81   1.427 +/- 0.073    81.3  mgurwell  54747.543    
 1.3mm   13 Oct 2008 12:19  SMA  223.69   1.891 +/- 0.153    15.7  mgurwell  54752.512    
 1.3mm   14 Oct 2008 12:03  SMA  223.89   1.760 +/- 0.089   134.0  mgurwell  54753.504    
 1.3mm   11 Jan 2009 06:22  SMA  226.04   1.809 +/- 0.373     5.0  mgurwell  54842.266    
 1.3mm   27 Feb 2009 05:28  SMA  220.47   2.452 +/- 0.145    32.0  mgurwell  54889.227    
 1.3mm   26 Apr 2009 21:45  SMA  224.50   1.637 +/- 0.108    23.0  mgurwell  54947.906    
 1.3mm   15 Jun 2010 18:15  SMA  224.75   1.306 +/- 0.072    43.0  mgurwell  55362.762    
 870mi   17 Jun 2010 18:42  SMA  340.80   0.839 +/- 0.077    13.0  mgurwell  55364.777    
 1.3mm   14 Jul 2010 16:10  SMA  225.48   1.398 +/- 0.077    44.7  mgurwell  55391.672    
 1.3mm   29 Jul 2010 17:49  SMA  224.82   1.309 +/- 0.071    48.7  mgurwell  55406.742    
 1.3mm   30 Jul 2010 17:46  SMA  225.52   1.252 +/- 0.066    58.7  mgurwell  55407.742    
 1.3mm   25 Aug 2010 15:34  SMA  224.82   0.991 +/- 0.056    37.0  mgurwell  55433.648    
 1.3mm   26 Aug 2010 16:16  SMA  225.51   1.026 +/- 0.054    63.3  mgurwell  55434.680    
 1.3mm   30 Aug 2010 16:19  SMA  225.43   1.146 +/- 0.058   111.3  mgurwell  55438.680    
 1.3mm   30 Sep 2010 14:51  SMA  224.81   1.020 +/- 0.054    57.7  mgurwell  55469.617    
 1.3mm   01 Jun 2011 19:02  SMA  224.32   1.009 +/- 0.062    28.7  mgurwell  55713.793    
 1.3mm   09 Jun 2011 18:42  SMA  225.52   1.010 +/- 0.085    14.7  mgurwell  55721.777    
 1.3mm   14 Jul 2011 18:04  SMA  225.44   0.909 +/- 0.051    38.0  mgurwell  55756.754    
 1.3mm   25 Aug 2011 14:22  SMA  224.63   0.857 +/- 0.048    38.7  mgurwell  55798.598    
 870mi   25 Sep 2011 15:00  SMA  342.06   0.738 +/- 0.068    13.0  mgurwell  55829.625    
 1.3mm   16 Jul 2013 17:30  SMA  224.84   0.505 +/- 0.043    14.7  mgurwell  56489.730    
 1.3mm   20 Aug 2013 16:37  SMA  220.59   0.478 +/- 0.093     5.3  mgurwell  56524.691    
 1.3mm   28 Jul 2015 17:06  SMA  224.87   0.465 +/- 0.044    12.3  mgurwell  57231.711    
 1.3mm   29 Jul 2015 16:24  SMA  224.68   0.411 +/- 0.046    10.0  mgurwell  57232.684    
