!B2251+158   J2253+161   3c454.3                                                          
!J2000  RA: 22:53:57.7479    DEC: +16:08:53.560                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 870mi   06 Jun 2002 00:00  SMA  340.70   4.615 +/- 0.665     7.4  mgurwell  52431.000    
 1.3mm   11 Oct 2002 00:00  SMA  235.60   5.380 +/- 0.272   139.0  mgurwell  52558.000    
 1.3mm   29 Oct 2002 00:00  SMA  235.60   6.000 +/- 0.337    39.0  mgurwell  52576.000    
 870mi   14 Nov 2002 00:00  SMA  340.70   5.760 +/- 0.327    37.0  mgurwell  52592.000    
 1.3mm   22 Nov 2002 00:00  SMA  237.50   8.310 +/- 0.432    71.0  mgurwell  52600.000    
 870mi   23 Nov 2002 00:00  SMA  340.70   7.200 +/- 0.390    48.0  mgurwell  52601.000    
 870mi   24 Nov 2002 00:00  SMA  340.70   8.430 +/- 0.502    31.0  mgurwell  52602.000    
 1.3mm   18 Jan 2003 06:33  SMA  235.60   8.420 +/- 0.471    40.0  mgurwell  52657.273    
 1.3mm   18 Apr 2003 04:41  SMA  238.00   8.130 +/- 0.709    14.0  mgurwell  52747.195    
 870mi   23 Apr 2003 10:44  SMA  340.50   3.800 +/- 0.192   147.0  mgurwell  52752.445    
 1.3mm   27 May 2003 08:22  SMA  224.67   5.530 +/- 0.285    82.0  mgurwell  52786.348    
 1.3mm   05 Jun 2003 06:11  SMA  236.00   7.120 +/- 0.739    11.0  mgurwell  52795.258    
 1.3mm   24 Jun 2003 10:32  SMA  238.00   7.019 +/- 0.381    47.0  mgurwell  52814.438    
 1.3mm   09 Jul 2003 06:55  SMA  237.00   6.830 +/- 0.377    43.0  mgurwell  52829.289    
 1.3mm   02 Aug 2003 04:56  SMA  236.00   4.178 +/- 0.268    25.0  mgurwell  52853.207    
 1.3mm   16 Sep 2003 05:13  SMA  236.00   4.510 +/- 0.233    75.0  mgurwell  52898.219    
 1.3mm   15 Oct 2003 06:35  SMA  236.00   6.304 +/- 0.363    35.0  mgurwell  52927.273    
 1.3mm   12 Nov 2003 05:14  SMA  236.00   6.489 +/- 0.376    34.0  mgurwell  52955.219    
 1.3mm   12 Nov 2003 06:16  SMA  236.00   6.299 +/- 0.360    36.0  mgurwell  52955.262    
 1.3mm   16 Jun 2004 01:15  SMA  225.52   4.801 +/- 0.259    50.0  mgurwell  53172.051    
 1.3mm   20 Jun 2004 05:11  SMA  225.52   6.369 +/- 0.422    23.0  mgurwell  53176.215    
 1.3mm   02 Jul 2004 11:47  SMA  225.52   3.335 +/- 0.236    20.0  mgurwell  53188.492    
 870mi   27 Jul 2004 11:30  SMA  305.78   3.516 +/- 0.203    34.7  mgurwell  53213.480    
 870mi   12 Aug 2004 04:10  SMA  340.75   2.871 +/- 0.198    21.0  mgurwell  53229.172    
 1.3mm   17 Aug 2004 04:45  SMA  225.49   2.925 +/- 0.214    18.7  mgurwell  53234.199    
 1.3mm   18 Aug 2004 06:05  SMA  225.49   3.704 +/- 0.195    60.3  mgurwell  53235.254    
 1.3mm   20 Aug 2004 03:56  SMA  225.55   3.532 +/- 0.181    87.7  mgurwell  53237.164    
 1.3mm   08 Sep 2004 00:40  SMA  225.53   3.440 +/- 0.184    52.3  mgurwell  53256.027    
 870mi   14 Sep 2004 03:29  SMA  340.79   4.190 +/- 0.304    19.0  mgurwell  53262.145    
 1.3mm   05 Oct 2004 04:11  SMA  225.34   6.495 +/- 0.329   120.7  mgurwell  53283.176    
 1.3mm   22 Dec 2004 05:36  SMA  225.52   8.431 +/- 0.428   111.0  mgurwell  53361.234    
 870mi   30 Dec 2004 05:55  SMA  340.80   8.409 +/- 0.464    43.0  mgurwell  53369.246    
 1.3mm   13 Jan 2005 02:57  SMA  225.56   9.651 +/- 0.490   112.0  mgurwell  53383.121    
 870mi   26 Apr 2005 16:10  SMA  340.82  18.017 +/- 1.137    26.0  mgurwell  53486.672    
 870mi   27 Apr 2005 15:57  SMA  340.83  22.224 +/- 1.231    42.0  mgurwell  53487.664    
 870mi   02 May 2005 05:36  SMA  342.53  25.043 +/- 1.387    42.0  mgurwell  53492.234    
 1.3mm   06 May 2005 05:42  SMA  225.52  25.927 +/- 1.301   247.3  mgurwell  53496.238    
 870mi   07 May 2005 07:08  SMA  340.85  23.897 +/- 1.198   275.0  mgurwell  53497.297    
 870mi   08 May 2005 07:16  SMA  340.77  24.094 +/- 1.213   166.7  mgurwell  53498.305    
 870mi   09 May 2005 05:31  SMA  340.85  24.037 +/- 1.285    53.0  mgurwell  53499.230    
 870mi   10 May 2005 04:00  SMA  340.85  25.060 +/- 1.259   209.3  mgurwell  53500.168    
 870mi   16 May 2005 06:21  SMA  336.59  24.187 +/- 1.362    38.7  mgurwell  53506.266    
 1.3mm   03 Jun 2005 10:33  SMA  225.52  42.403 +/- 2.127   240.3  mgurwell  53524.441    
 870mi   08 Jun 2005 05:53  SMA  342.88  34.879 +/- 1.785    91.7  mgurwell  53529.246    
 1.3mm   10 Jun 2005 04:24  SMA  225.48  40.255 +/- 2.017   290.3  mgurwell  53531.184    
 870mi   13 Jun 2005 05:07  SMA  340.83  29.106 +/- 1.457   377.3  mgurwell  53534.215    
 870mi   18 Jun 2005 12:21  SMA  342.87  33.729 +/- 1.808    51.7  mgurwell  53539.516    
 870mi   18 Jun 2005 16:44  SMA  342.87  33.018 +/- 1.653   380.7  mgurwell  53539.695    
 870mi   20 Jun 2005 16:07  SMA  342.50  35.785 +/- 1.791   439.7  mgurwell  53541.672    
 1.1mm   21 Jun 2005 05:40  SMA  271.02  38.036 +/- 1.903   532.3  mgurwell  53542.234    
 1.3mm   24 Jun 2005 04:12  SMA  225.43  42.670 +/- 2.137   360.0  mgurwell  53545.176    
 1.3mm   26 Jun 2005 05:20  SMA  225.44  41.946 +/- 2.202    62.7  mgurwell  53547.223    
 1.3mm   26 Jun 2005 14:36  SMA  225.44  41.827 +/- 2.094   363.0  mgurwell  53547.609    
 1.3mm   27 Jun 2005 05:25  SMA  218.43  39.043 +/- 1.954   502.7  mgurwell  53548.227    
