!B0032+276   J0034+279                                                                    
!J2000  RA: 00:34:43.4861    DEC: +27:54:25.721                                           
!                                                                                         
!BAND    UT DATE     TIME   OBS  F(GHz)   FLUX(JY)  ERROR    SNR    FLUX PI   MJD         
 1.3mm   29 Jun 2010 16:15  SMA  224.67   0.071 +/- 0.024     3.0  mgurwell  55376.676    
 1.3mm   03 Dec 2010 03:26  SMA  224.87   0.067 +/- 0.015     4.7  mgurwell  55533.145    
 1.3mm   11 Feb 2011 04:10  SMA  213.91   0.104 +/- 0.018     6.0  mgurwell  55603.172    
 1.3mm   17 May 2011 16:43  SMA  225.51   0.102 +/- 0.016     6.7  mgurwell  55698.695    
 1.3mm   28 Aug 2011 14:52  SMA  224.86   0.059 +/- 0.010     6.3  mgurwell  55801.621    
 1.3mm   18 Sep 2011 13:45  SMA  224.83   0.101 +/- 0.019     5.7  mgurwell  55822.574    
 1.3mm   17 Jul 2012 13:12  SMA  225.30   0.168 +/- 0.028     6.3  mgurwell  56125.551    
 1.3mm   22 Jul 2012 13:38  SMA  226.86   0.040 +/- 0.013     3.0  mgurwell  56130.566    
 1.3mm   29 Jul 2012 14:31  SMA  225.55   0.042 +/- 0.018     2.3  mgurwell  56137.605    
 1.3mm   15 Aug 2012 14:49  SMA  226.02   0.041 +/- 0.014     3.0  mgurwell  56154.617    
 1.3mm   13 May 2013 18:04  SMA  225.19   0.065 +/- 0.014     4.7  mgurwell  56425.754    
 1.3mm   23 Jun 2013 14:43  SMA  218.72   0.101 +/- 0.038     2.7  mgurwell  56466.613    
 1.3mm   03 Aug 2013 14:30  SMA  224.90   0.060 +/- 0.013     4.7  mgurwell  56507.605    
 1.3mm   26 Sep 2013 07:23  SMA  218.99   0.055 +/- 0.024     2.3  mgurwell  56561.309    
 870mi   07 Dec 2013 03:14  SMA  335.49   0.223 +/- 0.046     5.0  mgurwell  56633.133    
 1.3mm   01 Feb 2014 04:25  SMA  225.45   0.067 +/- 0.016     4.3  mgurwell  56689.184    
 1.3mm   27 May 2015 18:50  SMA  219.49   0.076 +/- 0.021     3.7  mgurwell  57169.785    
 1.1mm   01 Feb 2016 06:02  SMA  274.38   0.120 +/- 0.028     4.3  mgurwell  57419.250    
 870mi   01 Feb 2016 06:02  SMA  345.30   0.211 +/- 0.046     4.7  mgurwell  57419.250    
 1.3mm   25 May 2017 19:09  SMA  225.56   0.057 +/- 0.009     6.7  mgurwell  57898.797    
 1.3mm   29 Aug 2018 15:57  SMA  235.54   0.185 +/- 0.025     8.0  mgurwell  58359.664    
 1.3mm   21 Sep 2020 14:05  SMA  231.54   0.061 +/- 0.013     5.0  mgurwell  59113.586    
 1.3mm   18 Jul 2021 15:54  SMA  225.54   0.041 +/- 0.006     6.7  mgurwell  59413.664    
 1.3mm   29 Oct 2021 05:15  SMA  225.63   0.031 +/- 0.006     5.7  mgurwell  59516.219    
 870mi   09 Jun 2022 18:51  SMA  350.30   0.107 +/- 0.013     9.3  mgurwell  59739.785    
 1.3mm   20 Jun 2022 13:36  SMA  219.52   0.021 +/- 0.007     3.0  mgurwell  59750.566    
 1.3mm   07 Feb 2023 04:04  SMA  217.70   0.017 +/- 0.007     2.3  mgurwell  59982.168    
 1.3mm   22 Aug 2023 13:36  SMA  225.56   0.042 +/- 0.014     3.0  mgurwell  60178.566    
 1.3mm   20 Sep 2023 07:41  SMA  225.55   0.064 +/- 0.007    10.3  mgurwell  60207.320    
 1.3mm   26 Sep 2023 07:07  SMA  225.55   0.022 +/- 0.006     3.7  mgurwell  60213.297    
 1.3mm   15 Aug 2024 14:10  SMA  225.54   0.062 +/- 0.009     7.0  mgurwell  60537.590    
 1.3mm   18 Jan 2025 05:18  SMA  225.54   0.063 +/- 0.016     4.0  mgurwell  60693.223    
 1.1mm   28 Jan 2025 06:05  SMA  258.31   0.142 +/- 0.036     4.0  mgurwell  60703.254    
 1.3mm   28 Jan 2025 06:05  SMA  222.91   0.082 +/- 0.017     5.0  mgurwell  60703.254    
 1.3mm   07 Feb 2025 04:34  SMA  225.54   0.058 +/- 0.015     4.0  mgurwell  60713.191    
 1.3mm   11 Feb 2025 02:55  SMA  225.33   0.084 +/- 0.014     6.3  mgurwell  60717.121    
 1.3mm   13 Feb 2025 03:52  SMA  225.33   0.079 +/- 0.011     8.0  mgurwell  60719.160    
